"StudyID","Species","Taxon.group","Endo.Ecto","Trait.Name","Fitness.Measure.Defined","linear.coefs","linear.coefs.se","grad.diff","elevation","abs.Lat","Genus","family","order","class"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.023,0.036,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
15,"Parus caeruleus","V","Endo","chick weight","survival (recruitment to the breeding population)",-0.022490144,0.23084246,"grad",232,43.6667,"Parus","Paridae","Passeriformes","Ave"
11,"Calopteryx splendens","I","Ecto","Thorax width","Minimum lifespan in field (a measure of survival), H_je «_Å population",-0.022095,NA,"grad",10,55.7,"Calopteryx","Calopterygidae","Odonata","Insecta"
67,"Ovis aries","V","Endo","body weight - adult females","survival",-0.022,0.051,"grad",121,57.814,"Ovis","Bovidae","Artiodactyla","Mammalia"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.022,0.038,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
144,"Carpodacus mexicanus","V","Endo","Beak width","juvenile survival",-0.022,NA,"grad",971,46.8607,"Carpodacus","Fringillidae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.021,0.033,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.02,0.038,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
158,"Parus major","V","Endo","adult body mass","survival to the next breeding season",-0.02,0.035,"grad",39,52.0833,"Parus","Paridae","Passeriformes","Ave"
144,"Carpodacus mexicanus","V","Endo","Beak width","juvenile survival",-0.02,NA,"grad",971,46.8607,"Carpodacus","Fringillidae","Passeriformes","Ave"
158,"Parus major","V","Endo","tarsus length","survival to the next breeding season",-0.02,0.06,"grad",10,51.641,"Parus","Paridae","Passeriformes","Ave"
75,"Salmo salar","V","Ecto","condition factor (immature + mature fish)","Age-2 winter survival",-0.02,NA,"grad",124,42.4167,"Salmo","Salmonidae","Salmoniformes","Actinopterygii"
